Filename	Title	StartDateTime	Duration (minutes)	Genre1	Genre2	Synopsis Short	Synopsis Medium	Synopsis Long
5085344787448740525	The Tower	16/07/2007	50	factual/lifestories	documentaries	The transformation of Lewisham council tower blocks into chic apartments is due to begin.	Five years after Lewisham council sold off one of its riverside tower blocks to be turned into chic apartments, the transformation of the Tower is due to begin.	Five years after Lewisham council sold off one of its riverside tower blocks to be transformed into chic apartments for young professionals, the transformation of the Tower is due to begin. Before the private developers can move in, however, all the old tenants must go. Les Brooks, a professional clown, is the last existing occupant in the Tower and he's refusing to go quietly. Elsewhere on the estate, his neighbours have their own private battles to fight.
5085357672350628540	How We Built Britain	26/12/2007	60	factual:factual/history		How the Georgian dream of order and beauty transformed our buildings and cities.	David Dimbleby tours Britain to discover the buildings that have made us who we are. He travels west, where he finds the grandeur of Blenheim Palace.	On his architectural tour of Britain, David Dimbleby discovers how the Georgian dream of order and beauty transformed our buildings and cities. Travelling west, he discovers the grandeur of Blenheim Palace, the man-made paradise of Stourhead garden in Wiltshire and the elegance of Bath. He pays tribute to the terraced house, a great British invention, before discovering the tin mines of Cornwall and crossing the mighty Menai Bridge to the Georgian jewel of Dublin.
5086465773912997411	Tony, Sedgefield and Me	13/07/2007	30	factual/politics		What life has been like for Tony Blair's constituents.	What has life been like for the people whose local MP became Britain's longest serving Labour prime minister? Friends, neighbours and constituents reflect on Tony Blair's story.	What has life been like for the people whose local MP became Britain's longest serving Labour prime minister? Friends, neighbours and those who have encountered Sedgefield's MP look back on their part in Tony Blair's story.
5087953980081062580	The Tower	17/07/2007	50	factual/lifestories	documentaries	The last tenant has been removed from the tower block and the renovation begins.	Documentary about a Lewisham estate. The last tenant has been removed from the ex-council tower block and the developers can now start the renovation.	In the Tower the last tenant has been removed from the ex-council tower block and the developers  can now start the renovation. Their marketing department are keen to sell the virtues of riverside living, but on the estate there are others who are desperate to leave. Resident Edith Corlis is expecting her seventh baby, but the squatters have moved in, flooded the block and are making her life a misery.   Although Edith's best friend Kelley Garcia has patched up her relationship with Wayne, they have a more pressing crisis at home with their young son Tyrell. Plus, Lol Gilbert has failed to win his girlfriend back and has taken up again with the other love of his life, heroin.
5090546422340930233	The Tower	24/07/2007	50	factual/lifestories	documentaries	The interior designers are hard at work creating the dream of sky-high urban living.	Documentary about a Lewisham estate. Inside the Tower, the interior designers are hard at work creating the dream of sky-high modern urban living.	Documentary about a Lewisham estate. Inside the Tower, the interior designers are hard at work creating the dream of sky-high modern urban living. Down at street level, publicans Doug and Brenda Elsley face bankruptcy as they lose their regular customers. By contrast, successful restauranteur Bambos Manoros has bought two of the flats and is considering buying one of the penthouses. Meanwhile, Edith Corlis is ready to move to her new home, but first she has to give birth to her seventh child.
5090916219025116054	True Dare Kiss	25/07/2007	60	drama:drama/relationshipsandromance		A dinner party doesn't go according to plan for Nita.	Drama serial centred around four sisters. A dinner party doesn't go according to plan for Nita. Alice's visions become clearer. Dennis plays the sisters off against one another.	Drama serial centred around four sisters - Nita, Phil, Beth and Alice - who are reunited for the first time in 20 years when their estranged father dies. A dinner party doesn't go according to plan for Nita, as tempers flare and Beth's behaviour catches up with her. Alice's visions become clearer. Dennis plays the sisters off against one another as he plans to sell Smyrna Grove, but who will end up buying the house?
5092765202446045704	Holby City	30/07/2007	60	drama/medical		Joseph's fears look set to become reality as Jac and Lord Byrne's relationship progresses.	Joseph's nightmare looks like it will become a reality as Jac and Lord Byrne's relationship progresses. A shocking discovery about his father presents Joseph with a major dilemma.	Joseph's nightmare looks like it will become a reality as Jac and Lord Byrne's relationship progresses, but a shocking discovery about his father presents Joseph with a major dilemma. What will he do? Abra faces the day from hell with Jayne Grayson breathing down his neck in a busy AAU, but will he discover who is responsible for his extra stress? Elliot receives some potentially shocking news, but will Maddy's attempts to help him actually do more damage to the vulnerable surgeon?
5093160768934007504	The Tower	31/07/2007	50	factual/lifestories	documentaries	With the show flats selling fast, two buyers are excited by the dream of modern living.	Documentary about life on a Lewisham estate. With the show flats in the Tower selling fast, two prospective purchasers are excited by the dream of modern living.	Documentary about life on a Lewisham estate. With the show flats in the tower selling fast, two prospective purchasers are excited by the dream of modern living. However, first they are due to marry and Saima is experiencing some real life doubts about what married life with Usman will actually be like. Theirs is a very modern arranged marriage and she needs to decide this is the life she wants in a place she already loves.   On the estate, eight-year-old Chantelle thinks she is living a nightmare. The area has the highest recorded number of rapes in London and she is afraid to leave her flat. She is also coming to terms with a dad who's never there.  Bambos's Manoras is a man who's always been in control but his Midas touch is eluding him and his family are not so sure that they want to all live together on a street in the sky.
5093521546186871869	True Dare Kiss	01/08/2007	60	drama		Having worked out Bryce is a charlatan, Alice threatens to expose him.	Drama serial centred around four sisters. Stan is very much alive and despite Dennis's pleas to end the charade, he won't be satisfied until Beth and Phil come clean.	Drama serial centred around four sisters - Nita, Phil, Beth and Alice - who are reunited for the first time in 20 years when their estranged father dies. Stan is very much alive and despite Dennis's pleas to end the charade, he won't be satisfied until Beth and Phil come clean. Having worked out Bryce is a charlatan, Alice threatens to expose him.
5093895208341624036	Paris	02/08/2007	60	factual/history	documentaries	How 20th-century Paris embraced technology, counter-culture and immigration.	Documentary series about Parisian history. Sandrine Voillet tells how the city embraced technology, counter-culture and immigration.	Art historian Sandrine Voillet tells the story of Paris in the 20th century. How it embraced technology (the Lumiere brothers, Louis Renault and the Metro), counter-culture (Picasso, Josephine Baker and Serge Gainsbourg) and immigration to preserve its reputation as a lighthouse city for the world.  But it was not plain sailing. Resistance to modernisation, the Nazi occupation of France and rioting in the banlieues tell a darker story and reveal problems that remain unresolved. Along the way, Sandrine meets Picassoâ€™s grandson and Jane Birkin.
5094257274914886988	Ian Rankin's Hidden Edinburgh	03/08/2007	60	factual	documentaries	Crime writer Ian Rankin revisits the key locations from his Inspector Rebus books.	Crime writer Ian Rankin revisits the key locations from the Inspector Rebus books, the hidden Edinburgh into which tourists never venture.	Edinburgh is often described as the 'Athens of the North' but its most famous detective Inspector Rebus views Scotland's capital in quite a different light - it is a crime scene waiting to happen.   As his creator Ian Rankin prepares to write the last ever Rebus case, the award-winning author re-visits the key locations from the books. From the city's 'pubic triangle' and the home of Scotland's most infamous madam to a police station where he was interviewed about a real murder, Rankin explores the hidden Edinburgh into which tourists never venture.
5097975856769557081	Vet Safari	13/08/2007	30	factual/petsandanimals:factual/scienceandnature	documentaries	A large herd of buffalo turns on the team.	Documentary series following Emma, an English pet vet turned African big game vet, and her family. While catching a large herd of buffalo, the herd turns on the team.	Documentary series following the adventures of Emma, an English pet vet turned African big game vet, and her family.   While catching a large herd of buffalo, the herd turns on the team, who are in real danger. Novice helicopter pilot LJ is forced into some treacherous low-flying to save everyone from being trampled. Emma wrestles with a cheetah after it comes round from its anaesthetic without warning.
5099091689273058848	India with Sanjeev Bhaskar	16/08/2007	60	factual/travel		Sanjeev takes a trip along the Grand Trunk Road in a quest to find his ancestral home.	Sanjeev Bhaskar takes a trip along the incredible Grand Trunk Road in a quest to find his ancestral home.	Sanjeev Bhaskar travels across India. In this episode he takes a trip along the incredible Grand Trunk Road in a quest to find his ancestral home.   Along the way he is invited to a lavish wedding, travels high into the mountains to see the summer capital of the Raj, and visits the breathtaking Golden Temple of Amritsar, the holiest shrine of the Sikhs.   Finally, Sanjeev crosses the border into Pakistan in search of the village his father was forced to leave when India was partitioned 60 years ago.
5099449889545545450	The Day India Burned - Partition	17/08/2007	90	factual/history	docudramas	Documentary about the effects of Britain's withdrawal from India in 1947.	Documentary about the effects of Britain's withdrawal from India in 1947. 15 million were displaced and more than a million lose their lives as the nation was divided.	Documentary about the effects of Britain's withdrawal from India in 1947 which triggered one of the biggest migrations in history. 15 million were displaced and more than a million lost their lives. The story is told through the testimony of people who lived together for centuries, but were forced out of their homes as one of the largest and most ethnically diverse nations in the world was divided. Dramatised reconstructions evoke some of the mistrust, violence and upheaval that ensued.
5101325932090649776	Secret Life of the Motorway	22/08/2007	60	factual/carsandmotors:factual/history:factual/travel	documentaries	From the building of the first motorway in Britain to the celebration of the most complex.	Documentary series celebrating Britain's motorways. This first part includes interviews with the engineers and builders who designed and created the first motorway.	Documentary series which celebrates the birth of motorways and hails the achievements of those behind the 'road revolution'. The first episode takes us from the excitement of the building of the first motorway in Britain, the M6 Preston By-pass, to the celebration of the most complex, Spaghetti Junction.   With amazing archive and often hilarious public information films, we take a trip back to a time when not only were motorways exciting and new, but there was also no speed limit. Interviews with the engineers who designed them, the navvies who built them and the people who drove on them bring to life and celebrate an achievement that we now take so much for granted.
5103182645622502287	Vet Safari	27/08/2007	30	factual/petsandanimals:factual/scienceandnature	documentaries	Emma performs an emergency autopsy on a cheetah which has been mysteriously killed.	Documentary series following Emma, an English pet vet turned African big game vet. The family are in Namibia, performing medical checks on the wild lions of Etosha National Park.	Documentary series about Emma, an English pet vet turned African big game vet, and her family. The family are on assignment in Namibia, performing medical checks on the wild lions of Etosha National Park.   Emma performs an emergency autopsy on a cheetah which has been mysteriously killed, while Shaun darts two other cheetahs and relocates them to safety. Phoebe meets a chongololo - an African giant millipede, and Emma works through the night running tests on four lionesses in the bush.
